title,category,url,description,updated
Area Service Manual,Area Documents,https://www.aa.org/sites/default/files/literature/en_aaservicemanual.pdf,The A.A. Service Manual combined with Twelve Concepts for World Service.,2024
Spring Assembly 2026 — Minutes,Assembly Minutes,#/events,Approved minutes of the spring 2026 area assembly. (Placeholder — link to PDF when posted.),Apr 2026
Winter Assembly 2025 — Minutes,Assembly Minutes,#/events,Approved minutes of the winter 2025 area assembly. (Placeholder.),Feb 2026
Fall Assembly 2025 — Minutes,Assembly Minutes,#/events,Approved minutes of the fall 2025 area assembly. (Placeholder.),Nov 2025
GSR Orientation Packet,Guidelines & Forms,#/events,Welcome packet for new General Service Representatives. (Placeholder — link to PDF when posted.),
Area 09 Bylaws,Guidelines & Forms,#/events,Bylaws governing the operation of Area 09. (Placeholder.),
Group Information Change Form,Guidelines & Forms,#/events,Form to update group/GSR registration with the General Service Office. (Placeholder.),
Public Information Guidelines,Committee Guidelines,#/events,A.A.W.S. Guidelines on Public Information. (Placeholder.),
Treatment Committee Workbook,Committee Guidelines,#/events,Treatment committee workbook. (Placeholder.),
Bridging the Gap Pamphlet,Newcomer Literature,https://www.aa.org/pamphlets/bridging-the-gap,Bridging the Gap from A.A. World Services.,
Is A.A. for You?,Newcomer Literature,https://www.aa.org/pamphlets/is-a-a-for-you,Twelve questions only you can answer.,
A.A. at a Glance,Newcomer Literature,https://www.aa.org/sites/default/files/literature/f-1_AAataGlance.pdf,Brief overview of Alcoholics Anonymous.,
The Twelve Steps Illustrated,Newcomer Literature,https://www.aa.org/pamphlets/the-twelve-steps-illustrated,Illustrated explanation of the Twelve Steps.,
A.A. Grapevine,External Links,https://www.aagrapevine.org,International journal of A.A.,
A.A. World Services,External Links,https://www.aa.org,General Service Office of Alcoholics Anonymous.,
Meeting Guide (regional),External Links,https://meetingguide.org,Free meeting-finder app and site maintained by A.A.W.S.,
